"No.","Quantity","Comment","Designator","Footprint","Value","Manufacturer Part","Manufacturer","Supplier Part","Supplier","Category","LCSC Stock","Pin Count","LCSC Price","JLCPCB Stock","JLCPCB Price"
"1","2","1uF","1uF,1uF","C0402","1uF","TCC0402X5R105M6R3AT","CCTC(三环)","C2887021","LCSC","Capacitors:Multilayer Ceramic Capacitors MLCC - SMD/SMT","","2","","5161725","0.0007"
"2","2","4.7kΩ","4.7k,4.7k","R0805","4.7kΩ","RMC08054.7K5%N","Tyohm(幸亚电阻)","C269733","LCSC","Resistors:Chip Resistor - Surface Mount","","2","","2778","0.0008"
"3","2","4.7uF","4.7uF,4.7uF","C0603","4.7uF","CL10A475KP8NNNC","SAMSUNG(三星)","C1705","LCSC","Capacitors:Multilayer Ceramic Capacitors MLCC - SMD/SMT","","2","","1969979","0.0027"
"4","2","10kΩ","10k,10k","R0402","10kΩ","RC0402JR-0710KL","YAGEO(国巨)","C60489","LCSC","Resistors:Chip Resistor - Surface Mount","","2","","7547994","0.0005"
"5","3","10kΩ","10k,10k,10k","R0402","10kΩ","RC0402FR-0710KL","YAGEO(国巨)","C60490","LCSC","Resistors:Chip Resistor - Surface Mount","","2","","8318646","0.0005"
"6","5","10kΩ","10K,10K,10k,10k,10K","R0402","10kΩ","FRC0402F1002TS","FOJAN(富捷)","C2906861","LCSC","Resistors:Chip Resistor - Surface Mount","","2","","20129294","0.0004"
"7","7","10uF","10uF,10uF,10uF,10uF,10uF,10uF,10uF","C0603","10uF","TCC0603X5R106K160CT","CCTC(三环)","C18164635","LCSC","Capacitors:Multilayer Ceramic Capacitors MLCC - SMD/SMT","","2","","852515","0.0053"
"8","6","18pF","12MHz,12MHz,24MHz,24MHz,32mhz,32mhz","C0402","18pF","GRM1555C1H180FA01D","muRata(村田)","C161534","LCSC","Capacitors:Multilayer Ceramic Capacitors MLCC - SMD/SMT","","2","","73955","0.0013"
"9","1","15kΩ","15k","R0402","15kΩ","FRC0402F1502TS","FOJAN(富捷)","C2909322","LCSC","Resistors:Chip Resistor - Surface Mount","","2","","540724","0.0003"
"10","6","56kΩ","56k,56k,56k,56k,56k,56k","R0402","56kΩ","RC0402FR-0756KL","YAGEO(国巨)","C114756","LCSC","Resistors:Chip Resistor - Surface Mount","","2","","1481851","0.0006"
"11","1","68kΩ","68k","R0402","68kΩ","RC0402FR-0768KL","YAGEO(国巨)","C137947","LCSC","Resistors:Chip Resistor - Surface Mount","","2","","656740","0.0006"
"12","2","100kΩ","100k,100k","R0402","100kΩ","RC0402JR-07100KL","YAGEO(国巨)","C106234","LCSC","Resistors:Chip Resistor - Surface Mount","","2","","1338248","0.0004"
"13","4","100kΩ","100k,100k,100k,100k","R0402","100kΩ","0402WGD1003TCE","UNI-ROYAL(厚声)","C270658","LCSC","Resistors:Chip Resistor - Surface Mount","","2","","26589","0.0009"
"14","1","10uF","100nF","C0402","10uF","GRM155R60J106ME44D","muRata(村田)","C76991","LCSC","Capacitors:Multilayer Ceramic Capacitors MLCC - SMD/SMT","","2","","1018392","0.0042"
"15","33","100nF","100nF,100nF,100nF,100nF,100nF,100nF,100nF,100nF,100nF,100nF,100nF,100nF,100nF,100nF,100nF,100nF,100nF,100nF,100nF,100nF,100nF,100nF,100nF,100nF,100nF,100nF,100nF,100nF,100nF,100nF,100nF,100nf,100nF","C0402","100nF","FN15X104K160PNG","PSA(信昌电陶)","C328914","LCSC","Capacitors:Multilayer Ceramic Capacitors MLCC - SMD/SMT","","2","","5682948","0.001"
"16","3","220pF","220pF,220pF,220pF","C0402","220pF","GRM1555C1H221JA01D","muRata(村田)","C71693","LCSC","Capacitors:Multilayer Ceramic Capacitors MLCC - SMD/SMT","","2","","1158260","0.0008"
"17","1","240Ω","240","R0402","240Ω","RC0402FR-07240RL","YAGEO(国巨)","C114755","LCSC","Resistors:Chip Resistor - Surface Mount","","2","","1649111","0.0004"
"18","1","680Ω","680","R0402","680Ω","NQ02WGF6800TCE","UNI-ROYAL(厚声)","C965238","LCSC","Resistors:Chip Resistor - Surface Mount","","2","","9792","0.0004"
"19","1","AFC01-S12FCA-00","FPC1","FPC-SMD_AFC01-S12FCA-00","","AFC01-S12FCA-00","JS(钜硕电子)","C262661","LCSC","Connectors:FFC, FPC (Flat Flexible) Connector Assemblies","","14","","139782","0.0139"
"20","1","HX PH254-01-02-Z-L11.5 male header connector","H1","HDR-TH_2P-P2.54-V-M","","HX PH254-01-02-Z-L11.5 male header connector","hanxia(韩下)","C52016390","LCSC","Connectors:Pin Headers","","2","","36260","0.0024"
