"Designator","Device","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Pins","Layer","Rotation","SMD","Comment","Name"
"24MHz","GRM1555C1H180FA01D","C0402","37.844mm","-15.117mm","37.844mm","-15.117mm","38.141mm","-15.414mm","2","T","135","Yes","18pF","18pF"
"24MHz","GRM1555C1H180FA01D","C0402","30.791mm","-11.196mm","30.791mm","-11.196mm","31.211mm","-11.196mm","2","T","180","Yes","18pF","18pF"
"U1","V3s","LQFP-128_L14.0-W14.0-P0.40-LS16.0-BL-EP5.0","31.75mm","-25.527mm","31.75mm","-25.527mm","25.55mm","-33.127mm","129","T","0","Yes","V3s","V3s"
"X1","DSX321G 24MHz","CRYSTAL-SMD_4P-L3.2-W2.5-BL-1","34.421mm","-12.933mm","34.421mm","-12.933mm","35.817mm","-13.092mm","4","T","135","Yes","-","-"
"X2","Q13FC13500004_C32346","FC-135R_L3.2-W1.5","25.781mm","-13.081mm","25.781mm","-13.081mm","27.031mm","-13.081mm","2","T","180","Yes","32.768kHz","32.768kHz"
"12MHz","GRM1555C1H180FA01D","C0402","30.35mm","-71.064mm","30.35mm","-71.064mm","30.35mm","-71.484mm","2","T","90","Yes","18pF","18pF"
"12MHz","GRM1555C1H180FA01D","C0402","23.3mm","-70.75mm","23.3mm","-70.75mm","23.3mm","-70.33mm","2","T","270","Yes","18pF","18pF"
"32mhz","GRM1555C1H180FA01D","C0402","29.289mm","-13.017mm","29.289mm","-13.017mm","29.709mm","-13.017mm","2","T","180","Yes","18pF","18pF"
"32mhz","GRM1555C1H180FA01D","C0402","22.86mm","-13.589mm","22.86mm","-13.589mm","22.86mm","-14.009mm","2","T","90","Yes","18pF","18pF"
"100nF","GRM155R60J106ME44D","C0402","21.59mm","-19.304mm","21.59mm","-19.304mm","22.01mm","-19.304mm","2","T","180","Yes","10uF","10uF"
"100nF","FN15X104K160PNG","C0402","21.209mm","-24.257mm","21.209mm","-24.257mm","20.789mm","-24.257mm","2","T","0","Yes","100nF","100nF"
"100nF","FN15X104K160PNG","C0402","41.887mm","-19.247mm","41.887mm","-19.247mm","41.467mm","-19.247mm","2","T","0","Yes","100nF","100nF"
"100nF","FN15X104K160PNG","C0402","41.899mm","-17.902mm","41.899mm","-17.902mm","42.319mm","-17.902mm","2","T","180","Yes","100nF","100nF"
"4.7uF","CL10A475KP8NNNC","C0603","25.654mm","-56.134mm","25.654mm","-56.134mm","25.654mm","-56.834mm","2","T","90","Yes","4.7uF","4.7uF"
"4.7uF","CL10A475KP8NNNC","C0603","16.447mm","-93.76mm","16.447mm","-93.76mm","15.747mm","-93.76mm","2","T","0","Yes","4.7uF","4.7uF"
"10uF","TCC0603X5R106K160CT","C0603","7.938mm","-89.061mm","7.938mm","-89.061mm","8.638mm","-89.061mm","2","T","180","Yes","10uF","10uF"
"100nF","FN15X104K160PNG","C0402","11.621mm","-92.49mm","11.621mm","-92.49mm","11.918mm","-92.193mm","2","T","225","Yes","100nF","100nF"
"1uF","TCC0402X5R105M6R3AT","C0402","9.583mm","-87.398mm","9.583mm","-87.398mm","9.88mm","-87.695mm","2","T","135","Yes","1uF","1uF"
"10uF","TCC0603X5R106K160CT","C0603","19.876mm","-89.061mm","19.876mm","-89.061mm","20.576mm","-89.061mm","2","T","180","Yes","10uF","10uF"
"10uF","TCC0603X5R106K160CT","C0603","17.082mm","-87.029mm","17.082mm","-87.029mm","17.082mm","-86.329mm","2","T","270","Yes","10uF","10uF"
"220pF","GRM1555C1H221JA01D","C0402","12.891mm","-86.14mm","12.891mm","-86.14mm","13.311mm","-86.14mm","2","T","180","Yes","220pF","220pF"
"10uF","TCC0603X5R106K160CT","C0603","15.05mm","-81.822mm","15.05mm","-81.822mm","15.05mm","-82.522mm","2","T","90","Yes","10uF","10uF"
"220pF","GRM1555C1H221JA01D","C0402","20.511mm","-93.506mm","20.511mm","-93.506mm","20.09mm","-93.506mm","2","T","0","Yes","220pF","220pF"
"10uF","TCC0603X5R106K160CT","C0603","23.559mm","-89.408mm","23.559mm","-89.408mm","24.259mm","-89.408mm","2","T","180","Yes","10uF","10uF"
"220pF","GRM1555C1H221JA01D","C0402","9.589mm","-94.395mm","9.589mm","-94.395mm","9.168mm","-94.395mm","2","T","0","Yes","220pF","220pF"
"100nF","FN15X104K160PNG","C0402","21.971mm","-67.44mm","21.971mm","-67.44mm","21.971mm","-67.02mm","2","T","270","Yes","100nF","100nF"
"100nF","FN15X104K160PNG","C0402","33.274mm","-59.947mm","33.274mm","-59.947mm","33.694mm","-59.947mm","2","T","180","Yes","100nF","100nF"
